                                       prof_name                                           Range  Range Instances  Avg Range Lvl  Proj Avg (ms)  Proj Med (ms)  Proj Min (ms)  Proj Max (ms)  Proj StdDev (ms)
114    bench-208-qwen3-ep-pooled-symm-step_28-53                                     :experts.fw              208            4.0           43.1           43.1           41.4           45.2               0.7
115    bench-208-qwen3-ep-pooled-symm-step_28-53                                     :combine.fw              208            4.0            9.2            9.2            8.1           11.5               0.8
116    bench-208-qwen3-ep-pooled-symm-step_28-53                                :fw.a2a_dispatch              208            6.0            4.5            4.5            4.0            5.2               0.3
117    bench-208-qwen3-ep-pooled-symm-step_28-53                                 :fw.a2a_combine              208            6.0            7.1            7.1            6.0            9.4               0.8
118  bench-209-qwen3-ep-zerocopy-symm-step_28-53  :ep=zerocopy_symm @ qwen3-30b-a3b @ step_28-53              208            0.0          190.7          190.7          188.6          193.1               0.0
119  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                    :tr-backward              208            1.0          114.4          114.1          112.7          117.1               1.1
120  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                    :tr-optimize              208            1.0           11.6           11.6           11.5           11.7               0.0
121  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                     :tr-forward              208            1.0           63.8           63.8           62.7           66.1               0.6
122  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                        :tr-data              208            1.0            0.3            0.3            0.2            0.8               0.1
123  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                :bw.a2a_dispatch              208            2.0            8.5            8.5            5.5           13.2               1.7
124  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                 :bw.a2a_combine              208            2.0            3.4            3.4            3.3            3.7               0.1
125  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                         :fw.MoE              208            3.0           57.4           57.4           56.3           59.3               0.5
126  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                        :fw.Attn              208            3.0            2.4            2.4            2.3            2.5               0.0
127  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                    :dispatch.fw              208            4.0            5.0            5.0            4.6            6.4               0.3
128  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                     :experts.fw              208            4.0           43.1           43.1           41.2           44.8               0.7
129  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                     :combine.fw              208            4.0            8.3            8.2            7.2           10.5               0.8
130  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                :fw.a2a_dispatch              208            6.0            3.7            3.7            3.3            5.1               0.3
131  bench-209-qwen3-ep-zerocopy-symm-step_28-53                                 :fw.a2a_combine              208            6.0            6.2            6.1            5.1            8.4               0.8
